user_id,gesture_label,dx_0,dx_1,dx_2,dx_3,dx_4,dx_5,dx_6,dx_7,dx_8,dx_9,dx_10,dx_11,dx_12,dx_13,dx_14,dx_15,dx_16,dx_17,dx_18,dy_0,dy_1,dy_2,dy_3,dy_4,dy_5,dy_6,dy_7,dy_8,dy_9,dy_10,dy_11,dy_12,dy_13,dy_14,dy_15,dy_16,dy_17,dy_18,dx_global,dy_global,angle,total_length,split,fold
1,1,-5.390838782677718,-7.1174544584686315,-5.336655811346747,-6.430026131015982,-6.026778464091077,-4.784827547559747,-5.382952851522447,-6.172421356585879,-6.751625935893841,-7.195961906593382,-6.924643874104177,-5.9634080633052235,-6.241133391813278,-6.825608435440586,-7.191609618159887,-7.337990954458604,-7.264752444336835,-6.9718940877944675,-6.459415884831529,-6.4871695216206735,-4.498695267997526,-6.5022597554136095,-5.460314362496106,-5.771495753514763,-6.972652914955333,-6.509246441257268,-5.736251759294248,-5.013799038870417,-4.420153164930753,-4.737070917691852,-5.940582851878872,-5.645733541194559,-4.960364835829779,-4.516006347053107,-4.314036009554158,-4.354453823333074,-4.6372597883897555,-5.162453904724188,-121.77000000000004,-101.64000000000004,-2.4460552299872926,159.87612464439295,train,0
1,1,-5.788530121697489,-5.5885985601252255,-5.428848861005605,-5.309281024338617,-5.229895050124263,-5.190690938362554,-5.191668689053458,-5.232828302197021,-5.314169777793218,-5.435693115842035,-5.597398316343515,-5.799285379297601,-6.041354304704328,-6.32360509256371,-6.64603774287572,-7.0086522556403565,-7.41144863085762,-7.854426868527554,-8.337586968650129,-5.628685978486741,-5.815394593361046,-5.962885244628794,-6.071157932289989,-6.140212656344623,-6.170049416792693,-6.16066821363421,-6.112069046869173,-6.024251916497583,-5.897216822519411,-5.730963764934714,-5.525492743743428,-5.280803758945609,-4.996896810541216,-4.673771898530276,-4.311429022912762,-3.9098681836887152,-3.469089380858094,-2.989092614420926,-114.73000000000002,-100.87,-2.420391866565478,153.22505571275295,train,0
1,1,-4.802534276631218,-5.133811526695369,-5.454086279191191,-5.763358534118693,-6.061628291477856,-6.345772014615701,-6.590878038958465,-6.785023719804634,-6.928134545632659,-7.020210516442489,-7.061251632234203,-7.051257893007772,-6.990229298763182,-6.878165849500462,-6.715067545219583,-6.500934385920559,-6.2357663716033755,-5.9195635022680335,-5.552325777914575,-6.283855403141918,-6.029493076599983,-5.744080328600724,-5.427617159144141,-5.080103568230221,-4.709319339862692,-4.377311887306199,-4.113776908365985,-3.9188999886802023,-3.7926811282489084,-3.7351203270720745,-3.7462175851497292,-3.82597290248183,-3.9743862790683977,-4.191457714909447,-4.4771872100049706,-4.83157476435494,-5.25462037795937,-5.746324050818316,-119.79000000000002,-89.26000000000005,-2.501210928472035,150.24633898752376,test,0
1,1,-6.49458171883543,-5.652355957760647,-4.302767973418346,-3.7552986471203873,-4.407580175866308,-5.3363912201022465,-5.8392604686160965,-5.659358913445445,-5.928088740410281,-6.394796992303753,-6.363298545732988,-6.0602528352404335,-5.661209957673194,-6.299026542551246,-7.087683043478535,-5.6111656096570925,-5.491388095379918,-6.580963531453577,-5.4245310309541,-4.111572365054316,-5.256101102716583,-6.339377663875032,-6.737580197874442,-6.295867564193536,-5.538900830972221,-5.006676078400567,-5.212146728813188,-4.875238295626723,-4.2920702902291055,-4.327347090251465,-4.733899507709573,-5.272100717785008,-4.347392465717888,-3.1633564876139815,-5.068758758117482,-5.3619130153560945,-4.0470582869398015,-5.402642552752994,-108.35000000000002,-95.39,-2.419719386268641,146.09285512724546,test,0
1,2,5.896202706292706,4.6335189728507595,4.15074865529313,4.412521696188662,5.159658625121722,6.24572589299563,6.646578990503198,6.158059834246224,6.178191682904064,6.813917699281298,7.499775832151343,6.848396801696708,6.521409567705518,6.939408626445342,6.58922877979829,6.864084873145671,6.816130460537536,5.473287298235235,7.2731530046069395,-5.05844476322293,-5.996929672227065,-6.4644854970666294,-6.436438621863772,-5.731989377041721,-4.322445551438683,-3.907775384993265,-4.796027776322454,-4.620932380752421,-3.202000584084999,-1.7582888591896833,-3.276247514525835,-4.125180692429289,-3.289723404058286,-3.887493903301994,-3.4560362851295423,-3.3605123502679817,-5.4070361630019335,-2.7120112190815178,117.11999999999998,-81.81,-0.609728183922447,145.72209098170185,test,0
1,2,6.174926577902362,5.311607873129006,5.205824346826496,5.7937570741645,6.848413242867025,8.05848340319238,8.607695676815688,8.419015482599036,8.310708541170818,8.578384472898215,8.665350303798704,8.49062969886711,8.284292898739281,8.185671533362623,8.326807930019001,8.607247461450996,8.788528418926532,8.714616652008772,8.318038411261455,-6.9349565901605175,-7.534987723840407,-7.711847925355466,-7.366874674692923,-6.149523388745038,-4.438691738479392,-3.6634925356343544,-3.9709280869554036,-4.049234979695655,-3.4773365153238913,-3.318468925015118,-3.7166317141398224,-4.159303274756887,-4.352108202795279,-4.053617886912974,-3.4416347401889595,-2.9658174564641797,-3.113624567146715,-4.110919073697048,147.69,-88.53000000000003,-0.5400011902674945,176.06488038318543,validation,0
1,2,7.007714166337149,5.917306247227183,5.363012408892709,5.344832651333746,5.953266271444342,7.595540311951957,8.748645690719435,8.217444047115315,8.303958331056556,8.32303396340145,8.181866786031293,8.423997854279136,8.543035826925774,8.195011310838368,7.911349761662933,7.922112255514165,8.240364820026372,8.585335904234995,8.682171391007131,-6.076321694931336,-6.935839978803655,-7.468472354747327,-7.674218822762356,-7.271077936413217,-4.921689577125967,-3.174098971230137,-4.211428975313503,-4.026523163182176,-4.006753998105175,-4.286293169329994,-3.7681722872279977,-3.511646656155783,-4.230895176611838,-4.797724068601411,-4.75550435984637,-4.129479364130148,-3.428436115719137,-3.1454233297624654,145.46,-91.82,-0.5630730897088277,175.44024362040827,test,0
1,2,5.749369815607498,5.591900626333458,5.628504668174921,5.8591819411318795,6.2575564456138615,6.577486434101612,6.77355393320628,7.402762100790532,8.271745926216873,8.001424905171355,7.475501128861055,7.957185060956405,8.315982520253542,7.8027797973999355,7.463709064771436,7.669362163775105,7.906650700984031,8.0825886675605,8.20275409908973,-6.782054252656414,-6.953206593011627,-6.9220442643724915,-6.688567266739007,-6.285889953505205,-6.023036624751498,-5.900726322402939,-4.8652641758668125,-3.2981536322557616,-3.8608603747794703,-4.874702190596977,-3.9333353022121997,-3.2328072305797804,-4.227967965941389,-4.899603490163685,-4.527278114331168,-4.085287747660871,-3.737580059820644,-3.461634438352064,136.99,-94.56,-0.6041654379862137,169.14884131225836,train,0
1,2,5.692832501870266,5.60161387063019,5.357564317099179,4.9606838412772305,4.528681315939327,5.0763492253087,6.4403950108368875,6.668640469738953,7.15934131802242,7.387006487889536,7.198253669051844,7.71634984612156,7.4509883853077525,7.392870825843104,7.314102581324548,6.977384260421019,7.420713851373307,7.150610662178295,7.395617559765881,-6.043452972867929,-6.125058773702919,-6.3363237654683005,-6.677247948164062,-7.041023038440564,-6.506835124375321,-5.241095780082446,-4.996272485074584,-4.129840469873244,-3.812629960066211,-4.114845172390872,-3.0843663657812073,-3.638908510753538,-3.794127608040071,-3.901066814065004,-4.501288894100725,-3.726598693430631,-4.2162674207870054,-3.7627502025354005,124.89,-91.65000000000003,-0.6330819948024545,157.74222521783304,train,0
1,2,4.440317605991485,5.4580354592643925,6.086382858481951,5.909928494082619,5.211597693180664,5.024184960802895,5.471264953225663,6.306961039910263,7.313601995887666,8.159559383723362,8.347115802720353,8.237355688608488,8.338508771180258,8.278526236560324,8.01328046058589,8.01295213225906,8.186016135064122,8.17299160084994,7.351418727620569,-8.286027880100356,-7.651088426204955,-7.184131990744538,-7.279277988497103,-7.7829850790803405,-7.968211846890377,-7.7355014734088385,-7.035166441908636,-5.833177032909852,-4.674563690944595,-4.399966215615933,-4.518677623126621,-4.329026118119302,-4.449244538701336,-4.916678200483787,-4.906591639162997,-4.64257226806599,-4.665771563828827,-5.821339982205657,132.31999999999996,-114.08000000000004,-0.7115069634738767,178.5947055308186,train,0
